,place_name,place_types,presence_likelihood,datetime,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_4_hours,type_1_day,type_7_days
4015,Free Motion Bodywork,"SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2907654953002929,2010-03-19 10:20:00,SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4014,Free Motion Bodywork,"SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2907654953002929,2010-03-19 10:00:00,SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4013,Western Gravel & Roofing Supply,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1008434104919434,2010-03-19 09:40:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4012,Free Motion Bodywork,"SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.1615996360778809,2010-03-19 09:20:00,SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4011,Hong Kong Productions,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3323532104492187,2010-03-19 09:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4010,Montecristo,"RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,",0.2473576545715332,2010-03-19 08:40:00,RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4009,"POST SCRIPT, INK","POINT_OF_INTEREST,ESTABLISHMENT,",0.2566171264648437,2010-03-19 08:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4008,"POST SCRIPT, INK","POINT_OF_INTEREST,ESTABLISHMENT,",0.2566171264648437,2010-03-19 08:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4007,Bayside Cafe,"RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,",0.5456982803344727,2010-03-19 07:40:00,RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4006,Bayside Cafe,"RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,",0.5456982803344727,2010-03-19 07:20:00,RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4005,Bayview Heights (Hill),"TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.2265597152709961,2010-03-19 07:00:00,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4004,Bayview Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.3437023544311523,2010-03-19 06:40:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4003,Cosmos Electric Co,"ELECTRICIAN,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2528904724121094,2010-03-19 06:20:00,ELECTRICIAN,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4002,Cosmos Electric Co,"ELECTRICIAN,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2528904724121094,2010-03-19 06:00:00,ELECTRICIAN,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4001,Cosmos Electric Co,"ELECTRICIAN,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2528904724121094,2010-03-19 00:00:00,ELECTRICIAN,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4000,Dial Global,"PREMISE,POINT_OF_INTEREST,ESTABLISHMENT,",0.2361643409729004,2010-03-18 23:40:00,PREMISE,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
3999,Dial Global,"PREMISE,POINT_OF_INTEREST,ESTABLISHMENT,",0.2361643409729004,2010-03-18 23:20:00,PREMISE,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
3998,Dial Global,"PREMISE,POINT_OF_INTEREST,ESTABLISHMENT,",0.2361643409729004,2010-03-18 23:00:00,PREMISE,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
